generation,max_fitness,avg_fitness,std_fitness
0,0.38,0.20761904761904765,0.08766303243805697
1,0.43,0.2847619047619047,0.06192307421455597
2,0.48,0.4185714285714287,0.02659855246432179
3,0.63,0.5338095238095237,0.035385790863160564
4,0.65,0.5833333333333335,0.028171808490950537
5,0.73,0.6123809523809524,0.03890216812476212
6,0.67,0.6199999999999999,0.021157009420498175
7,0.67,0.6052380952380952,0.023015325663989686
8,0.68,0.5919047619047619,0.029214974571767565
9,0.62,0.5704761904761907,0.02256761068775766
10,0.59,0.5414285714285713,0.022527383185742603
11,0.6,0.5338095238095237,0.02379999809447581
12,0.55,0.5080952380952382,0.019178124348192657
13,0.59,0.5123809523809525,0.024670159708549754
14,0.62,0.5123809523809525,0.03702055566776536
15,0.61,0.5233333333333332,0.030289607416741426
16,0.53,0.5052380952380953,0.012580804584402779
17,0.61,0.5204761904761904,0.028531718436086186
18,0.58,0.5171428571428572,0.028973363324145254
19,0.61,0.5419047619047618,0.02342547404999779
20,0.62,0.5457142857142856,0.024605734633835825
21,0.61,0.5604761904761902,0.024587296463667755
22,0.63,0.5676190476190477,0.02223355719986427
23,0.65,0.5599999999999998,0.027080128015453182
24,0.69,0.5619047619047617,0.038989503791349925
25,0.62,0.5652380952380953,0.02217227947966248
26,0.63,0.563809523809524,0.021925456063278722
27,0.6,0.5666666666666668,0.01699673171197592
28,0.66,0.5819047619047621,0.029699935484786045
29,0.63,0.582857142857143,0.01855310451312204
30,0.66,0.5938095238095238,0.02751210823934151
31,0.72,0.6176190476190476,0.03853319680789318
32,0.66,0.61,0.019023794624226854
33,0.76,0.6538095238095236,0.043036661057885714
34,0.81,0.7357142857142857,0.034719478349634667
35,0.83,0.777142857142857,0.02312344865176948
36,0.83,0.7838095238095235,0.02256761068775768
37,0.84,0.7890476190476188,0.020909046095333464
38,0.84,0.7928571428571426,0.020734801006740217
39,0.83,0.7838095238095237,0.018120283419467087
40,0.84,0.7995238095238093,0.01863846265788658
41,0.85,0.7966666666666663,0.021894407490614564
42,0.87,0.7966666666666663,0.019599157740244445
43,0.85,0.7971428571428569,0.022707845747745432
44,0.85,0.8057142857142856,0.020135594773205662
45,0.86,0.7942857142857142,0.025740727146170615
46,0.82,0.7795238095238094,0.016176464525202883
47,0.81,0.7866666666666665,0.01727462585449245
48,0.8,0.7742857142857142,0.014661718398419682
49,0.83,0.7647619047619048,0.024998866187441317
50,0.81,0.7647619047619048,0.018928197061287438
51,0.84,0.7604761904761906,0.02439285423783943
52,0.83,0.7614285714285715,0.02231499907401901
53,0.8,0.7538095238095238,0.016468206157895807
54,0.79,0.7466666666666668,0.016996731711975962
55,0.79,0.7338095238095241,0.020581126461880313
56,0.83,0.7242857142857143,0.031558174334820756
57,0.76,0.7119047619047616,0.021071092276035815
58,0.76,0.7214285714285713,0.01698338523821621
59,0.77,0.7090476190476187,0.01796948787058402
60,0.74,0.7023809523809522,0.016591667990651746
61,0.76,0.7033333333333333,0.022747754119040346
62,0.73,0.7004761904761903,0.017036708399998376
63,0.72,0.6914285714285713,0.013552618543578736
64,0.72,0.6895238095238094,0.016176464525202855
65,0.76,0.6971428571428571,0.021633936555429598
66,0.77,0.706190476190476,0.028026550418213635
67,0.75,0.6819047619047619,0.027363348378206916
68,0.7,0.6576190476190479,0.020680048333912817
69,0.69,0.6657142857142858,0.014661718398419656
70,0.75,0.6652380952380954,0.02665816190910171
71,0.71,0.6728571428571429,0.017496355305594114
72,0.74,0.6595238095238098,0.02572310254489428
73,0.69,0.6533333333333335,0.01935466803133483
74,0.73,0.6723809523809525,0.02223355719986427
75,0.69,0.6523809523809527,0.02158146513071364
76,0.68,0.6471428571428575,0.01419015659595367
77,0.69,0.6376190476190476,0.015707069049972038
78,0.69,0.6352380952380949,0.026478930998967337
79,0.67,0.6328571428571427,0.017496355305594142
80,0.67,0.6328571428571426,0.018294640678379583
81,0.68,0.627142857142857,0.020503857277724767
82,0.69,0.6204761904761904,0.022985749306946995
83,0.65,0.6033333333333333,0.022537446792760457
84,0.66,0.6204761904761904,0.019874892147342116
85,0.64,0.6095238095238095,0.013964645998681136
86,0.67,0.6161904761904761,0.01758684315487562
87,0.65,0.6119047619047618,0.019178124348192657
88,0.68,0.6095238095238095,0.02516160916880556
89,0.64,0.6019047619047619,0.01815778663327394
90,0.66,0.6,0.02507132682112037
91,0.69,0.6090476190476191,0.035976812890522125
92,0.7,0.6195238095238095,0.03046874909151695
93,0.66,0.6157142857142857,0.0227975413401635
94,0.79,0.6595238095238094,0.045300708548667745
95,0.71,0.6638095238095241,0.028026550418213624
96,0.74,0.6838095238095239,0.03456893602453624
97,0.78,0.6766666666666667,0.03385309064224041
98,0.73,0.6776190476190477,0.024084130697908147
99,0.74,0.687142857142857,0.020033984731392954
100,0.74,0.69,0.02690370836538195
101,0.74,0.6819047619047618,0.023221305409974472
102,0.73,0.6942857142857142,0.018916213396229693
103,0.76,0.6871428571428572,0.026572964625340367
104,0.71,0.6804761904761906,0.01987489214734207
105,0.75,0.679047619047619,0.024670159708549733
106,0.79,0.6923809523809522,0.031153194731040224
107,0.72,0.6657142857142858,0.021507790077402292
108,0.77,0.6876190476190476,0.025802318445988678
109,0.74,0.689047619047619,0.02598621647550903
110,0.72,0.6833333333333332,0.0172746258544924
111,0.75,0.7,0.026003662745668638
112,0.7,0.6623809523809525,0.017431433540688678
113,0.71,0.6595238095238097,0.019874892147342085
114,0.73,0.6609523809523811,0.03365154236962809
115,0.69,0.6452380952380954,0.0173532068174177
116,0.73,0.6795238095238095,0.019142620230706432
117,0.72,0.652857142857143,0.02930022869126696
118,0.75,0.666666666666667,0.03427248421989824
119,0.75,0.656666666666667,0.024752745558794326
120,0.73,0.6552380952380956,0.021518330528942857
121,0.71,0.6561904761904765,0.020811212746106814
122,0.68,0.6523809523809527,0.016302135970117815
123,0.76,0.6714285714285717,0.033986792152486615
124,0.69,0.6500000000000002,0.018771812708978125
125,0.71,0.656666666666667,0.021894407490614557
126,0.74,0.6709523809523811,0.030845970934669786
127,0.7,0.6514285714285716,0.02252738318574261
128,0.68,0.6509523809523813,0.013058389715049619
129,0.76,0.6500000000000001,0.030394235042348474
130,0.68,0.6504761904761909,0.016754868653104
131,0.7,0.6347619047619044,0.020614153163727014
132,0.69,0.6380952380952379,0.025933807246076395
133,0.7,0.6319047619047616,0.023828563815612963
134,0.69,0.6166666666666666,0.025323306286301594
135,0.68,0.6276190476190473,0.01973750645339307
136,0.67,0.6185714285714285,0.02435564162389416
137,0.65,0.6138095238095238,0.018120283419467108
138,0.72,0.6066666666666666,0.03212080372198106
139,0.68,0.5961904761904762,0.025907562873781823
140,0.68,0.6047619047619047,0.02838830202055027
141,0.67,0.6133333333333333,0.021455010144892987
142,0.73,0.6014285714285714,0.034953808197147766
143,0.65,0.5971428571428571,0.01880801681726811
144,0.69,0.584761904761905,0.03245789178657516
145,0.67,0.5961904761904762,0.02535015553182129
146,0.72,0.6042857142857143,0.03388656547553753
147,0.68,0.5823809523809526,0.028603156986059433
148,0.64,0.5900000000000001,0.022886885410853177
149,0.64,0.5861904761904763,0.017855555485002554
150,0.67,0.5733333333333336,0.03137079827047733
151,0.68,0.5904761904761907,0.033018925377828044
152,0.66,0.5871428571428573,0.030572763655760997
153,0.64,0.5938095238095238,0.019142620230706474
154,0.63,0.5785714285714288,0.0264189171555813
155,0.62,0.5776190476190478,0.01949475189567495
156,0.66,0.6019047619047619,0.024998866187441328
157,0.67,0.5976190476190476,0.025430533186321335
158,0.69,0.6195238095238095,0.02886358563941285
159,0.68,0.610952380952381,0.030691205798708637
160,0.69,0.6209523809523809,0.027929291997362243
161,0.69,0.6452380952380952,0.02151833052894287
162,0.74,0.6714285714285716,0.0313635691430002
163,0.79,0.6914285714285713,0.030438965360946438
164,0.77,0.7261904761904765,0.019633836312465066
165,0.77,0.7390476190476193,0.01659166799065177
166,0.84,0.7576190476190477,0.02561710029773861
167,0.81,0.7552380952380954,0.02084387488403744
168,0.84,0.7628571428571428,0.024522653694445215
169,0.84,0.7566666666666668,0.026962643175032514
170,0.81,0.7676190476190476,0.02653026338511263
171,0.85,0.7661904761904762,0.028364328784448434
172,0.83,0.7838095238095237,0.0198748921473421
173,0.85,0.7942857142857142,0.025555062599997583
174,0.88,0.8019047619047617,0.02736334837820692
175,0.84,0.7904761904761902,0.019389783877621275
176,0.84,0.8014285714285712,0.0175351929900209
177,0.87,0.7957142857142856,0.0253680392416518
178,0.82,0.7919047619047617,0.014677176197545187
179,0.87,0.806190476190476,0.028531718436086158
180,0.84,0.8080952380952382,0.015312319229346182
181,0.85,0.8066666666666665,0.022325158418535298
182,0.87,0.8114285714285714,0.025314350209527617
183,0.88,0.8104761904761902,0.02458729646366776
184,0.87,0.814761904761905,0.021071092276035774
185,0.88,0.8066666666666665,0.021006423809631202
186,0.86,0.8071428571428572,0.020734801006740203
187,0.88,0.8009523809523806,0.025242587201330602
188,0.87,0.8085714285714284,0.022946254863155706
189,0.9,0.8133333333333335,0.02678544973414328
190,0.85,0.81,0.022038926600773563
191,0.85,0.8147619047619049,0.015922146187905193
192,0.87,0.810952380952381,0.020448486241508447
193,0.87,0.8109523809523812,0.017702505043277222
194,0.88,0.8214285714285717,0.020067911910195673
195,0.87,0.8128571428571428,0.022284493251043012
196,0.87,0.810952380952381,0.02447637576361216
197,0.87,0.8180952380952381,0.026116779430099185
198,0.86,0.8190476190476194,0.01570706904997201
199,0.87,0.8114285714285716,0.02122121900491159
200,0.86,0.803809523809524,0.01785555548500253
