generation,fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13
0,0.4,0.5867372347198825,0.20137338739477784,0.9805843429353991,-0.9411349714101129,-0.39073182331823886,-0.8921718592865318,-0.8443881934848103,-0.38900443370278026,0.14394861986799445,-0.596325357267367,0.18428511933519354,0.2408688915372157,-0.5323182104085313,-0.6977028028456222
1,0.48,0.6054188362477245,0.23018942603746378,0.9098270429709597,-0.9509929594456623,-0.5195720256723324,-0.9046443458827226,-0.8832436862602416,-0.474317759731487,0.13713726052200292,-0.7442852170635008,0.36897260707055113,0.1778997558742969,-0.596989043113563,-0.6970958609333042
2,0.44,0.3664592385119557,0.20420613968813653,0.9084494487815232,-0.8625256370835324,-0.7871820805751857,-0.8211751523153182,-0.941815374720914,-0.39546525754120504,0.029689298277422338,-0.41715226869062094,0.1990122669034066,0.17655923663732317,-0.5097246481023292,-0.5216479305971331
3,0.52,0.905019577663924,0.34043922082017103,0.9073332988479229,-0.8530808011529236,-0.45050675045796573,-1.0,-0.7123950094639062,-0.34947878482099304,0.304036245994536,-0.4331493608704241,-0.38417791045887956,-0.06718752033668567,-0.6279381800911156,0.1940422688973391
4,0.68,0.8808930456754814,0.2763660196107301,0.7891218211702589,-0.942228726785492,-0.5132524866002334,-1.0,-0.709271628971649,-0.18621457205669403,0.14065075383129524,-0.31723648051386993,-0.38111026995943315,-0.18725531277069413,-0.6235391475209823,0.11736363253291301
5,0.74,0.6009459557544733,0.07639113403050414,1.0,-0.5518180133765063,-0.5930018713669731,-0.981651132561364,-0.9561802439125267,-0.3203165979029151,0.1057818226212402,-0.6692507423266028,0.6572555339217783,0.30002069961299255,-1.0,-0.27577918650733674
6,0.67,0.32847476031038164,-0.08317609122237801,1.0,-1.0,-0.26134568950175996,-0.9120130434161027,-1.0,-0.45846512415666585,-0.21266396075721544,-0.7739611535918914,0.15605745932824572,0.10741337406974127,-0.9974942756050922,-0.33090725030840984
7,0.68,1.0,0.37206624984129855,0.807909412118722,-0.5072150307746552,-0.5895005178673299,-0.47247320183203745,-0.9653621819670559,-0.5110004985262362,-0.020750548030747364,-0.5176013242477702,0.048189165174620976,-0.05360951506874053,-0.5239264139283871,0.20569484398609067
8,0.7,0.8982859246046995,0.28919537850021443,0.7679012524755877,-0.6579984055913953,-0.8015458283235021,-0.5721398031224272,-0.9748321913553004,-0.7383448524554161,-0.142857185833614,-0.6312875985292763,0.1925855265108091,0.08127872804866204,-0.8428339112796672,0.15535186741142268
9,0.7,0.962899554554316,0.27151156473401034,0.9776395736524128,-0.7549505812326549,-0.49964718502988575,-0.7666438291783023,-0.36028375499998583,-0.6481803409871502,-0.14912264110992568,-1.0,0.3909825160895616,-0.08332099511563892,-0.8785614834326985,0.0440000411282096
10,0.73,0.8818348367455997,0.16123766745637014,0.9814197178886185,-0.6212440280431039,-0.30535018505305034,-0.4035150423600943,-0.00832536624994032,-0.8765149270744725,-0.3346248696069947,-0.9082828287483053,0.3410095653587466,-0.036071810352332076,-0.7627232131539576,0.07997984877083936
11,0.74,0.839191762966937,0.06380856591991114,0.6538881012379579,-0.412957263426594,-0.49671619792341104,-0.43375822092861854,-0.6342840837047952,-0.2739931777789754,-0.31759818738381834,-0.6078738666646787,0.2685993414965463,0.15962731470674027,-0.9303664226567504,0.1552353134465483
12,0.79,0.7019309958808199,0.20230767027164845,0.8743691554172028,-0.3051111450218591,-0.26177785823655986,-0.30653935358159545,-1.0,-0.2938413726156306,-0.2546001249997718,-0.7321251931290709,0.2158823043748422,-0.1373483032311965,-0.7579358819276529,0.1738924233215151
13,0.81,0.6037428532352493,0.04664707110498824,0.663268533589949,-0.34140840790323396,-0.3297781449008393,-0.04456374177193584,-0.8886574373969106,-0.0651146558022346,-0.3474683747855217,-0.9066399861492153,0.6573157779081482,-0.3058327690780477,-1.0,0.32159378770239855
14,0.88,0.7080826130533178,0.07954407295368901,0.690265950941451,-0.07021798001715017,-0.3955473870999733,-0.11310226646859703,-0.8777699572076945,-0.032067395029911114,-0.25991875006287835,-0.8392832249443548,0.8268757722155186,-0.26125532385153655,-1.0,0.3845094214191348
15,0.89,0.7385276042012537,0.26940193657012407,0.45278019177057965,-0.4920909235763964,-0.22284907657219347,-0.0705813770875798,-0.6395849670273255,-0.32058182729409823,-0.08467260450710816,-0.8129573183570168,0.5344405951953632,-0.31849603160727,-0.9954446386755867,0.4309840795487546
